ID,condition,live_caves,ride_lions,farm_potatoes,play_banjo,look_left,clap_three,smile_sad,chug_syrup,yell_cats,go_opera,dance_fire,sing_songs,scream_windows,smell_garbage,wash_ponds,paint_hands,Ethnicity,Gender,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10,trial11,trial12,trial13,trial14,trial15,trial16,trial17
1313,generic,4,0,12,17,50,2,1,2,6,25,19,83,19,2,9,11,White/Caucasian,Man (including Trans Male/Trans Man),English,43,Male,White,United States,United States,United States,English,No,Full-Time,look left,dance,attention I1,cats,garbage,window,sad,maple syrup,clap,song,lion,opera,potatoes,banjo,cave,pond,yellow
1314,generic,10,3,40,30,31,8,77,13,4,28,79,88,5,7,45,40,Black/African American,Man (including Trans Male/Trans Man),"Spanish, English",20,Male,Black,Puerto Rico,United States,United States,English,Yes,Unemployed (and job seeking),yellow,sad,window,lion,song,garbage,pond,banjo,attention I1,dance,maple syrup,look left,clap,cats,opera,potatoes,cave
1315,specific,0,0,80,3,5,0,15,25,3,0,11,60,0,2,75,18,East Asian,Man (including Trans Male/Trans Man),English,44,Male,Mixed,United States,United States,United States,English,No,Full-Time,pond,sad,banjo,opera,cave,lion,window,look left,dance,cats,potatoes,attention I1,maple syrup,clap,song,yellow,garbage
1316,baseline,28,49,42,30,73,86,92,46,14,32,97,39,14,32,23,46,White/Caucasian,Woman (including Trans Female/Trans Woman),English,20,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),pond,look left,dance,potatoes,lion,cats,song,banjo,opera,window,cave,attention I1,garbage,yellow,clap,sad,maple syrup
1317,baseline,80,5,65,20,60,95,75,10,6,25,50,60,6,75,60,60,White/Caucasian,Man (including Trans Male/Trans Man),English,40,Male,White,United States,United States,United States,English,No,Full-Time,window,maple syrup,dance,cats,potatoes,sad,garbage,song,attention I1,look left,cave,clap,opera,yellow,banjo,lion,pond
1318,baseline,90,67,65,23,49,66,67,39,37,15,67,35,66,31,82,69,White/Caucasian,Man (including Trans Male/Trans Man),English,47,Male,White,United States,United States,United States,English,No,Full-Time,cave,sad,pond,window,potatoes,look left,banjo,cats,opera,clap,maple syrup,dance,lion,song,garbage,yellow,attention I1
1319,specific,85,36,17,10,50,50,25,65,5,50,25,25,15,36,85,16,White/Caucasian,Man (including Trans Male/Trans Man),English,25,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),song,banjo,dance,clap,attention I1,pond,look left,potatoes,window,cats,lion,yellow,maple syrup,opera,cave,garbage,sad
1320,baseline,100,5,100,10,54,50,75,65,2,5,100,20,5,50,100,25,White/Caucasian,Man (including Trans Male/Trans Man),English,45,Male,White,United States,United States,United States,English,No,Full-Time,garbage,clap,yellow,maple syrup,attention I1,banjo,lion,dance,cats,opera,sad,window,look left,cave,song,pond,potatoes
1321,generic,40,14,37,45,12,75,25,5,40,80,60,90,24,10,50,20,White/Caucasian,Man (including Trans Male/Trans Man),English,24,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),sad,clap,song,cats,opera,window,pond,garbage,cave,maple syrup,attention I1,dance,potatoes,lion,yellow,banjo,look left
1322,generic,100,85,100,100,50,100,100,100,100,86,100,100,13,100,100,100,East Asian,Man (including Trans Male/Trans Man),English,35,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking),song,dance,cave,banjo,sad,potatoes,yellow,clap,cats,pond,maple syrup,attention I1,garbage,lion,look left,opera,window
1323,specific,1,0,5,25,0,1,0,0,5,1,50,75,5,0,1,1,White/Caucasian,Woman (including Trans Female/Trans Woman),English,68,Female,White,United States,United States,United States,English,No,Other,yellow,opera,pond,dance,cats,song,banjo,clap,attention I1,cave,lion,look left,potatoes,maple syrup,garbage,sad,window
1324,generic,10,10,90,20,95,85,92,25,90,60,12,95,57,9,95,95,South East Asian,Man (including Trans Male/Trans Man),English,37,Male,Asian,United States,United States,United States,English,No,Full-Time,clap,cave,opera,cats,banjo,attention I1,sad,maple syrup,yellow,look left,pond,window,lion,potatoes,dance,garbage,song
1325,specific,50,10,11,12,38,3,12,5,8,25,50,66,13,5,24,3,White/Caucasian,Man (including Trans Male/Trans Man),English,48,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),opera,look left,dance,garbage,potatoes,banjo,yellow,attention I1,maple syrup,window,sad,cats,cave,lion,pond,clap,song
1326,generic,12,1,6,4,23,7,75,5,3,17,26,50,17,1,25,7,White/Caucasian,Man (including Trans Male/Trans Man),English,32,Male,White,United States,United States,United States,English,No,Part-Time,clap,yellow,dance,banjo,garbage,potatoes,look left,song,cats,lion,opera,window,attention I1,maple syrup,sad,pond,cave
1327,baseline,1,1,24,2,5,2,2,2,2,11,3,9,4,2,2,3,White/Caucasian,Woman (including Trans Female/Trans Woman),English,54,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",garbage,look left,cats,yellow,pond,potatoes,dance,lion,attention I1,sad,clap,banjo,song,maple syrup,window,cave,opera
1328,baseline,57,14,38,30,19,13,24,12,20,22,58,71,13,10,66,20,White/Caucasian,Man (including Trans Male/Trans Man),English,68,Male,White,United States,United States,United States,English,No,Part-Time,potatoes,sad,garbage,pond,yellow,look left,banjo,dance,cats,lion,cave,song,opera,clap,maple syrup,attention I1,window
1329,generic,25,89,50,25,11,100,40,65,5,3,75,35,10,60,90,80,Latino/Hispanic,Man (including Trans Male/Trans Man),"English, Spanish",20,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED,cave,pond,dance,potatoes,attention I1,cats,opera,window,garbage,lion,clap,song,sad,yellow,banjo,maple syrup,look left
1330,baseline,100,26,59,3,50,50,100,26,4,38,50,100,3,16,100,24,White/Caucasian,Man (including Trans Male/Trans Man),English,65,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",song,pond,attention I1,cave,yellow,lion,maple syrup,potatoes,dance,cats,opera,sad,garbage,banjo,window,clap,look left
1331,specific,1,1,4,6,1,1,8,1,6,0,10,8,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clap,maple syrup,yellow,look left,pond,song,potatoes,sad,garbage,banjo,window,lion,attention I1,cats,cave,dance,opera
1332,specific,5,4,9,11,1,3,16,2,3,4,7,25,2,2,11,8,Black/African American,Man (including Trans Male/Trans Man),English,25,Male,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking),attention I1,dance,lion,potatoes,yellow,banjo,sad,pond,song,clap,cave,cats,maple syrup,opera,look left,garbage,window
1333,specific,0,0,51,37,50,100,39,24,30,13,86,76,37,14,13,1,White/Caucasian,Woman (including Trans Female/Trans Woman),English,75,Female,White,United States,United States,United States,English,No,Other,clap,potatoes,look left,garbage,yellow,window,song,lion,cave,sad,attention I1,opera,pond,maple syrup,cats,dance,banjo
1334,baseline,1,1,5,1,1,15,50,1,1,20,3,75,16,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dance,window,opera,lion,attention I1,cave,banjo,sad,pond,clap,look left,garbage,song,maple syrup,potatoes,cats,yellow
1335,generic,15,5,5,10,50,1,10,10,10,20,25,75,35,3,90,10,White/Caucasian,Man (including Trans Male/Trans Man),English,40,Male,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",cats,pond,cave,opera,banjo,garbage,lion,sad,look left,attention I1,window,dance,maple syrup,yellow,song,potatoes,clap
1336,generic,35,20,72,20,31,65,34,25,18,40,74,62,30,53,55,35,White/Caucasian,Man (including Trans Male/Trans Man),English,27,Male,White,United States,United States,United States,English,No,Full-Time,song,yellow,garbage,clap,cave,lion,opera,window,maple syrup,dance,potatoes,look left,banjo,attention I1,sad,cats,pond
1337,baseline,97,91,90,14,51,88,10,95,25,51,95,26,25,94,89,96,White/Caucasian,Woman (including Trans Female/Trans Woman),English,33,Female,White,United States,United States,United States,English,No,Part-Time,cats,clap,song,potatoes,attention I1,maple syrup,banjo,opera,lion,dance,yellow,cave,pond,window,look left,sad,garbage
1338,generic,63,49,50,75,92,100,76,76,41,24,61,50,26,24,75,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clap,banjo,yellow,cats,window,sad,attention I1,song,pond,lion,garbage,maple syrup,dance,opera,look left,potatoes,cave
